Gene_name	Cell_type
GFAP	Astrocyte
S100B	Astrocyte
CD40	Astrocyte
CD80	Astrocyte
CD86	Astrocyte
PAX5	B-cell
CD20	B-cell
CD19	B-cell
CD138	B-cell
IGHG1	B-cell
CD163	B-cell
TSPO	B-cell
CD8A	T-cell
CD8B	T-cell
IL7R	T-cell
CD8	T-cell
CD3D	T-cell
CD3E	T-cell
CD3G	T-cell
CD3	T-cell
CD4	T-cell
GJA1	Astrocyte
ALDH1L1	Astrocyte
AQP4	Astrocyte
SLC1A3	Astrocyte
SLC14A1	Astrocyte
EAAT1	Astrocyte
FGFR3	Astrocyte
RBFOX3	Neuron
MAP2	Neuron
MAP2A	Neuron
MAP2B	Neuron
MAP2C	Neuron
NEFL	Neuron
NEFM	Neuron
NEFH	Neuron
SLC17A7	Neuron(ex)
FEZF2	Neuron(ex)
RORB	Neuron(ex)
GAD1	Neuron(inh)
ADARB2	Neuron(inh)
LHX6	Neuron(inh)
CLDN5	Endothelial
FLT1	Endothelial
EPAS1	Endothelial
EPS8	Pericytes
LAMA2	Pericytes
PDGFRA	Oligodendrocyte_pre
CSPG4	Oligodendrocyte_pre
CSPG4A	Oligodendrocyte_pre
BCAN	Oligodendrocyte_pre
NG2	Oligodendrocyte_pre
MBP	Oligodendrocyte
MOG	Oligodendrocyte
PLP1	Oligodendrocyte
PLP2	Oligodendrocyte
OLIG1	Oligodendrocyte
OLIG2	Oligodendrocyte
OLIG3	Oligodendrocyte
ITGAM	Microglia
PTPRC	Microglia
AIF1	Microglia
CD68	Microglia
CD40	Microglia
IBA1	Microglia
CD45	Microglia
CD11B	Microglia
CSF1R	Microglia
P2RY12	Microglia
IRF8	Microglia
SPP1	Microglia
OPALIN	Oligodendrocyte
OLIG3	Oligodendrocyte





